category,label,newroi,oldroi
1,Vis,1,1
1,Vis,2,2
1,Vis,3,3
1,Vis,4,4
1,Vis,5,5
1,Vis,6,6
1,Vis,7,7
1,Vis,8,8
1,Vis,9,9
1,Vis,10,10
1,Vis,11,11
1,Vis,12,12
1,Vis,13,13
1,Vis,14,14
1,Vis,15,15
1,Vis,16,16
1,Vis,17,17
1,Vis,18,18
1,Vis,19,19
1,Vis,20,20
1,Vis,21,21
1,Vis,22,22
1,Vis,23,23
1,Vis,24,24
1,Vis,25,25
1,Vis,26,26
1,Vis,27,27
1,Vis,28,28
1,Vis,29,29
1,Vis,30,30
1,Vis,31,31
1,Vis,32,32
1,Vis,33,33
1,Vis,34,34
1,Vis,35,35
1,Vis,36,36
1,Vis,37,37
1,Vis,38,38
1,Vis,39,39
1,Vis,40,40
1,Vis,41,41
1,Vis,42,42
1,Vis,43,43
1,Vis,44,44
1,Vis,45,45
1,Vis,46,46
1,Vis,47,47
1,Vis,48,48
1,Vis,49,49
1,Vis,50,50
1,Vis,51,51
1,Vis,52,52
1,Vis,53,53
1,Vis,54,54
1,Vis,55,55
1,Vis,56,56
1,Vis,57,57
1,Vis,58,58
1,Vis,59,59
1,Vis,60,60
1,Vis,61,61
1,Vis,62,62
1,Vis,63,63
1,Vis,64,64
1,Vis,65,65
1,Vis,66,66
1,Vis,67,67
1,Vis,68,68
1,Vis,69,69
1,Vis,70,70
1,Vis,71,71
1,Vis,72,72
1,Vis,73,73
1,Vis,74,74
1,Vis,75,75
1,Vis,76,76
1,Vis,77,77
1,Vis,78,78
1,Vis,79,79
1,Vis,80,80
1,Vis,81,81
1,Vis,82,501
1,Vis,83,502
1,Vis,84,503
1,Vis,85,504
1,Vis,86,505
1,Vis,87,506
1,Vis,88,507
1,Vis,89,508
1,Vis,90,509
1,Vis,91,510
1,Vis,92,511
1,Vis,93,512
1,Vis,94,513
1,Vis,95,514
1,Vis,96,515
1,Vis,97,516
1,Vis,98,517
1,Vis,99,518
1,Vis,100,519
1,Vis,101,520
1,Vis,102,521
1,Vis,103,522
1,Vis,104,523
1,Vis,105,524
1,Vis,106,525
1,Vis,107,526
1,Vis,108,527
1,Vis,109,528
1,Vis,110,529
1,Vis,111,530
1,Vis,112,531
1,Vis,113,532
1,Vis,114,533
1,Vis,115,534
1,Vis,116,535
1,Vis,117,536
1,Vis,118,537
1,Vis,119,538
1,Vis,120,539
1,Vis,121,540
1,Vis,122,541
1,Vis,123,542
1,Vis,124,543
1,Vis,125,544
1,Vis,126,545
1,Vis,127,546
1,Vis,128,547
1,Vis,129,548
1,Vis,130,549
1,Vis,131,550
1,Vis,132,551
1,Vis,133,552
1,Vis,134,553
1,Vis,135,554
1,Vis,136,555
1,Vis,137,556
1,Vis,138,557
1,Vis,139,558
1,Vis,140,559
1,Vis,141,560
1,Vis,142,561
1,Vis,143,562
1,Vis,144,563
1,Vis,145,564
1,Vis,146,565
1,Vis,147,566
1,Vis,148,567
1,Vis,149,568
1,Vis,150,569
1,Vis,151,570
1,Vis,152,571
1,Vis,153,572
1,Vis,154,573
1,Vis,155,574
1,Vis,156,575
1,Vis,157,576
1,Vis,158,577
1,Vis,159,578
1,Vis,160,579
1,Vis,161,580
1,Vis,162,581
2,SMN,163,82
2,SMN,164,83
2,SMN,165,84
2,SMN,166,85
2,SMN,167,86
2,SMN,168,87
2,SMN,169,88
2,SMN,170,89
2,SMN,171,90
2,SMN,172,91
2,SMN,173,92
2,SMN,174,93
2,SMN,175,94
2,SMN,176,95
2,SMN,177,96
2,SMN,178,97
2,SMN,179,98
2,SMN,180,99
2,SMN,181,100
2,SMN,182,101
2,SMN,183,102
2,SMN,184,103
2,SMN,185,104
2,SMN,186,105
2,SMN,187,106
2,SMN,188,107
2,SMN,189,108
2,SMN,190,109
2,SMN,191,110
2,SMN,192,111
2,SMN,193,112
2,SMN,194,113
2,SMN,195,114
2,SMN,196,115
2,SMN,197,116
2,SMN,198,117
2,SMN,199,118
2,SMN,200,119
2,SMN,201,120
2,SMN,202,121
2,SMN,203,122
2,SMN,204,123
2,SMN,205,124
2,SMN,206,125
2,SMN,207,126
2,SMN,208,127
2,SMN,209,128
2,SMN,210,129
2,SMN,211,130
2,SMN,212,131
2,SMN,213,132
2,SMN,214,133
2,SMN,215,134
2,SMN,216,135
2,SMN,217,136
2,SMN,218,137
2,SMN,219,138
2,SMN,220,139
2,SMN,221,140
2,SMN,222,141
2,SMN,223,142
2,SMN,224,143
2,SMN,225,144
2,SMN,226,145
2,SMN,227,146
2,SMN,228,147
2,SMN,229,148
2,SMN,230,149
2,SMN,231,150
2,SMN,232,151
2,SMN,233,152
2,SMN,234,153
2,SMN,235,154
2,SMN,236,155
2,SMN,237,156
2,SMN,238,157
2,SMN,239,158
2,SMN,240,159
2,SMN,241,160
2,SMN,242,161
2,SMN,243,162
2,SMN,244,163
2,SMN,245,164
2,SMN,246,165
2,SMN,247,166
2,SMN,248,167
2,SMN,249,168
2,SMN,250,169
2,SMN,251,170
2,SMN,252,171
2,SMN,253,172
2,SMN,254,582
2,SMN,255,583
2,SMN,256,584
2,SMN,257,585
2,SMN,258,586
2,SMN,259,587
2,SMN,260,588
2,SMN,261,589
2,SMN,262,590
2,SMN,263,591
2,SMN,264,592
2,SMN,265,593
2,SMN,266,594
2,SMN,267,595
2,SMN,268,596
2,SMN,269,597
2,SMN,270,598
2,SMN,271,599
2,SMN,272,600
2,SMN,273,601
2,SMN,274,602
2,SMN,275,603
2,SMN,276,604
2,SMN,277,605
2,SMN,278,606
2,SMN,279,607
2,SMN,280,608
2,SMN,281,609
2,SMN,282,610
2,SMN,283,611
2,SMN,284,612
2,SMN,285,613
2,SMN,286,614
2,SMN,287,615
2,SMN,288,616
2,SMN,289,617
2,SMN,290,618
2,SMN,291,619
2,SMN,292,620
2,SMN,293,621
2,SMN,294,622
2,SMN,295,623
2,SMN,296,624
2,SMN,297,625
2,SMN,298,626
2,SMN,299,627
2,SMN,300,628
2,SMN,301,629
2,SMN,302,630
2,SMN,303,631
2,SMN,304,632
2,SMN,305,633
2,SMN,306,634
2,SMN,307,635
2,SMN,308,636
2,SMN,309,637
2,SMN,310,638
2,SMN,311,639
2,SMN,312,640
2,SMN,313,641
