"","oldroi","category","label","newroi"
"1",1,1,"Vis",1
"2",2,1,"Vis",2
"3",3,1,"Vis",3
"4",4,1,"Vis",4
"5",5,1,"Vis",5
"6",6,1,"Vis",6
"7",7,1,"Vis",7
"8",8,1,"Vis",8
"9",9,1,"Vis",9
"10",10,1,"Vis",10
"11",11,1,"Vis",11
"12",12,1,"Vis",12
"30",30,1,"Vis",13
"31",31,1,"Vis",14
"101",101,1,"Vis",15
"102",102,1,"Vis",16
"103",103,1,"Vis",17
"104",104,1,"Vis",18
"105",105,1,"Vis",19
"106",106,1,"Vis",20
"107",107,1,"Vis",21
"108",108,1,"Vis",22
"109",109,1,"Vis",23
"110",110,1,"Vis",24
"111",111,1,"Vis",25
"112",112,1,"Vis",26
"133",133,1,"Vis",27
"164",164,1,"Vis",28
"196",196,1,"Vis",29
"13",13,2,"SMN",30
"14",14,2,"SMN",31
"15",15,2,"SMN",32
"16",16,2,"SMN",33
"17",17,2,"SMN",34
"18",18,2,"SMN",35
"19",19,2,"SMN",36
"20",20,2,"SMN",37
"21",21,2,"SMN",38
"22",22,2,"SMN",39
"23",23,2,"SMN",40
"24",24,2,"SMN",41
"26",26,2,"SMN",42
"27",27,2,"SMN",43
"28",28,2,"SMN",44
"37",37,2,"SMN",45
"113",113,2,"SMN",46
"114",114,2,"SMN",47
"115",115,2,"SMN",48
"116",116,2,"SMN",49
"117",117,2,"SMN",50
"118",118,2,"SMN",51
"119",119,2,"SMN",52
"120",120,2,"SMN",53
"121",121,2,"SMN",54
"122",122,2,"SMN",55
"123",123,2,"SMN",56
"124",124,2,"SMN",57
"125",125,2,"SMN",58
"126",126,2,"SMN",59
"127",127,2,"SMN",60
"128",128,2,"SMN",61
"129",129,2,"SMN",62
"130",130,2,"SMN",63
"148",148,2,"SMN",64
"29",29,3,"DAN",65
"32",32,3,"DAN",66
"33",33,3,"DAN",67
"34",34,3,"DAN",68
"35",35,3,"DAN",69
"36",36,3,"DAN",70
"38",38,3,"DAN",71
"39",39,3,"DAN",72
"57",57,3,"DAN",73
"60",60,3,"DAN",74
"61",61,3,"DAN",75
"64",64,3,"DAN",76
"73",73,3,"DAN",77
"131",131,3,"DAN",78
"132",132,3,"DAN",79
"134",134,3,"DAN",80
"135",135,3,"DAN",81
"136",136,3,"DAN",82
"137",137,3,"DAN",83
"138",138,3,"DAN",84
"139",139,3,"DAN",85
"140",140,3,"DAN",86
"141",141,3,"DAN",87
"166",166,3,"DAN",88
"167",167,3,"DAN",89
"168",168,3,"DAN",90
"25",25,4,"VAN",91
"40",40,4,"VAN",92
"41",41,4,"VAN",93
"42",42,4,"VAN",94
"43",43,4,"VAN",95
"44",44,4,"VAN",96
"45",45,4,"VAN",97
"46",46,4,"VAN",98
"47",47,4,"VAN",99
"48",48,4,"VAN",100
"49",49,4,"VAN",101
"142",142,4,"VAN",102
"143",143,4,"VAN",103
"144",144,4,"VAN",104
"145",145,4,"VAN",105
"146",146,4,"VAN",106
"147",147,4,"VAN",107
"149",149,4,"VAN",108
"150",150,4,"VAN",109
"155",155,4,"VAN",110
"199",199,4,"VAN",111
"200",200,4,"VAN",112
"51",51,5,"Lim",113
"52",52,5,"Lim",114
"53",53,5,"Lim",115
"54",54,5,"Lim",116
"55",55,5,"Lim",117
"56",56,5,"Lim",118
"157",157,5,"Lim",119
"158",158,5,"Lim",120
"160",160,5,"Lim",121
"161",161,5,"Lim",122
"162",162,5,"Lim",123
"163",163,5,"Lim",124
"58",58,6,"FP",125
"59",59,6,"FP",126
"62",62,6,"FP",127
"63",63,6,"FP",128
"65",65,6,"FP",129
"66",66,6,"FP",130
"67",67,6,"FP",131
"68",68,6,"FP",132
"70",70,6,"FP",133
"71",71,6,"FP",134
"72",72,6,"FP",135
"74",74,6,"FP",136
"93",93,6,"FP",137
"151",151,6,"FP",138
"152",152,6,"FP",139
"153",153,6,"FP",140
"154",154,6,"FP",141
"156",156,6,"FP",142
"165",165,6,"FP",143
"169",169,6,"FP",144
"170",170,6,"FP",145
"172",172,6,"FP",146
"174",174,6,"FP",147
"175",175,6,"FP",148
"176",176,6,"FP",149
"177",177,6,"FP",150
"178",178,6,"FP",151
"179",179,6,"FP",152
"181",181,6,"FP",153
"183",183,6,"FP",154
"50",50,7,"DMN",155
"69",69,7,"DMN",156
"75",75,7,"DMN",157
"76",76,7,"DMN",158
"77",77,7,"DMN",159
"78",78,7,"DMN",160
"79",79,7,"DMN",161
"80",80,7,"DMN",162
"81",81,7,"DMN",163
"82",82,7,"DMN",164
"83",83,7,"DMN",165
"84",84,7,"DMN",166
"85",85,7,"DMN",167
"86",86,7,"DMN",168
"87",87,7,"DMN",169
"88",88,7,"DMN",170
"89",89,7,"DMN",171
"90",90,7,"DMN",172
"91",91,7,"DMN",173
"92",92,7,"DMN",174
"94",94,7,"DMN",175
"95",95,7,"DMN",176
"96",96,7,"DMN",177
"97",97,7,"DMN",178
"98",98,7,"DMN",179
"99",99,7,"DMN",180
"100",100,7,"DMN",181
"159",159,7,"DMN",182
"171",171,7,"DMN",183
"173",173,7,"DMN",184
"180",180,7,"DMN",185
"182",182,7,"DMN",186
"184",184,7,"DMN",187
"185",185,7,"DMN",188
"186",186,7,"DMN",189
"187",187,7,"DMN",190
"188",188,7,"DMN",191
"189",189,7,"DMN",192
"190",190,7,"DMN",193
"191",191,7,"DMN",194
"192",192,7,"DMN",195
"193",193,7,"DMN",196
"194",194,7,"DMN",197
"195",195,7,"DMN",198
"197",197,7,"DMN",199
"198",198,7,"DMN",200
