category,label,newroi,oldroi
1,1,1,21
1,1,2,28
1,1,3,13
1,1,4,9
1,1,5,33
1,1,6,48
2,2,7,31
2,2,8,29
2,2,9,46
2,2,10,25
2,2,11,12
2,2,12,44
2,2,13,50
2,2,14,47
2,2,15,40
2,2,16,54
2,2,17,26
3,3,18,5
3,3,19,7
3,3,20,53
3,3,21,49
3,3,22,10
3,3,23,36
3,3,24,11
3,3,25,55
4,4,26,6
4,4,27,20
4,4,28,35
4,4,29,22
4,4,30,32
4,4,31,2
4,4,32,30
4,4,33,27
4,4,34,18
5,5,35,1
5,5,36,14
5,5,37,8
5,5,38,19
6,6,39,16
6,6,40,17
6,6,41,3
7,7,42,42
7,7,43,24
7,7,44,41
7,7,45,34
7,7,46,4
8,8,47,15
8,8,48,45
8,8,49,37
8,8,50,39
9,9,51,38
9,9,52,43
10,10,53,23
10,10,54,52
10,10,55,51
